id_anonimo_emp;anio;ciiu;descciiu;sector;ubigeo;departamento;provincia;distrito;tamanio_emp;valor_estimado_minimo_venta;valor_estimado_maximo_venta;exporta;valor_estimado_minimo_fob_dolar;valor_estimado_maximo_fob_dolar;fec_creacion
A8E99FF260708DC3F93E64FE89430BB7;2023;1552;ELABORACION DE VINOS;MANUFACTURA;110210;ICA;CHINCHA;SUNAMPE;MICRO;0;742500;NO;0;0;20241231
DEBC78096FCDD79271ABE2090C62F431;2023;1552;ELABORACION DE VINOS;MANUFACTURA;110108;ICA;ICA;SALAS;MICRO;0;742500;NO;0;0;20241231
07DD6EEF64A593E25C058815CE9541E3;2023;1549;ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS NCP;MANUFACTURA;110501;ICA;PISCO;PISCO;MICRO;0;742500;NO;0;0;20241231
939C12049FACC31646AA8E05FBBFB9FD;2023;1533;ELABORACION DE ALIMENTOS PREPARADOS PARA ANIMALES;MANUFACTURA;110202;ICA;CHINCHA;ALTO LARAN;MICRO;0;742500;NO;0;0;20241231
A5D401477E84891DC2909AADE6BAA10F;2023;1552;ELABORACION DE VINOS;MANUFACTURA;110112;ICA;ICA;SUBTANJALLA;PEQUENA;742500;8415000;NO;0;0;20241231
4D78C302211B68817DC9D5C3DC019D97;2023;1552;ELABORACION DE VINOS;MANUFACTURA;110201;ICA;CHINCHA;CHINCHA ALTA;MICRO;0;742500;NO;0;0;20241231
56A59691B1768265591DD5E53FE03115;2023;1552;ELABORACION DE VINOS;MANUFACTURA;110210;ICA;CHINCHA;SUNAMPE;MICRO;0;742500;NO;0;0;20241231
F8D4BAC90F8E628433EF53C15D7A9562;2023;1552;ELABORACION DE VINOS;MANUFACTURA;110210;ICA;CHINCHA;SUNAMPE;PEQUENA;742500;8415000;NO;0;0;20241231
A35D7066E474270C66229C7F70FD3F87;2023;1552;ELABORACION DE VINOS;MANUFACTURA;110210;ICA;CHINCHA;SUNAMPE;MICRO;0;742500;NO;0;0;20241231
E22DC31C6E9004DCA5D172BBE9568396;2023;1554;"ELABORACION DE BEBIDAS NO ALCOHOLICAS; PRODUCCION DE AGUAS MINERALES";MANUFACTURA;110506;ICA;PISCO;SAN ANDRES;MICRO;0;742500;NO;0;0;20241231
47C2F0A03447B683A8D988342E8CC417;2023;1551;"DESTILACION, RECTIFICACION Y MEZCLA DE BEBIDAS ALCOHOLICAS; PRODUCCION DE ALCOHOL ETILICO A PARTIR DE SUSTANCIAS FERMENTADAS";MANUFACTURA;110103;ICA;ICA;LOS AQUIJES;MICRO;0;742500;NO;0;0;20241231
9EED0ACEDA978A1695C2163792E3A47E;2023;1554;"ELABORACION DE BEBIDAS NO ALCOHOLICAS; PRODUCCION DE AGUAS MINERALES";MANUFACTURA;110103;ICA;ICA;LOS AQUIJES;PEQUENA;742500;8415000;NO;0;0;20241231
